English;Swedish;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
commuter;pendlare;0;0;0;0;0;0;0;0;0;0
compact;kompakt;0;0;0;0;0;0;0;0;0;1
compaction;kompaktering;0;0;0;0;0;0;0;0;0;0
compactness;kompakthet;0;0;0;0;0;0;0;0;0;0
companion;följeslagare;1;0;0;0;0;0;1;0;0;1
companionship;kamratskap;0;0;0;0;0;0;0;0;0;0
company;företag;0;0;0;0;0;0;0;0;0;0
comparable;jämförbar;0;0;0;0;0;0;0;0;0;0
comparative;jämförande;0;0;0;0;0;0;0;0;0;0
comparatively;jämförelsevis;0;0;0;0;0;0;0;0;0;0
comparison;jämförelse;0;0;0;0;0;0;0;0;0;0
compartment;avdelning;0;0;0;0;0;0;0;0;0;0
compass;kompass;0;0;0;0;0;0;0;0;0;1
compassion;medlidande;1;0;0;0;0;1;0;0;0;0
compassionate;medlidsam;1;0;0;0;0;0;0;0;0;0
compatibility;kompatibilitet;1;0;0;0;0;0;0;0;0;0
compatible;kompatibel;1;0;0;0;0;0;0;0;0;0
compel;tvinga;0;0;0;0;0;0;0;0;0;0
compelled;manad;0;0;0;0;0;0;0;0;0;0
compelling;övertygande;1;0;0;0;0;0;0;0;0;0
compendium;kompendium;0;0;0;0;0;0;0;0;0;0
compensate;kompensera;1;0;0;1;0;0;1;0;1;1
compensation;ersättning;0;0;0;0;0;0;0;0;0;0
compensatory;kompenserande;1;0;0;0;0;0;0;0;0;0
competence;kompetens;1;0;0;0;0;0;0;0;0;1
competency;kompetens;1;0;0;0;0;0;0;0;0;1
competent;behörig;1;0;0;0;0;0;0;0;0;1
competition;konkurrens;0;1;0;1;0;0;0;0;0;0
competitive;konkurrenskraftig;0;0;0;0;0;0;0;0;0;0
competitor;konkurrent;0;0;0;0;0;0;0;0;0;0
compilation;kompilering;0;0;0;0;0;0;0;0;0;0
compile;sammanställa;0;0;0;0;0;0;0;0;0;0
complacency;godhet;1;0;0;0;0;0;0;0;0;0
complacent;ro;0;0;0;0;0;0;0;0;0;0
complain;klaga;0;1;1;0;0;0;0;1;0;0
complaint;klagomål;0;1;1;0;0;0;0;0;0;0
complement;komplement;1;0;0;1;0;0;1;0;1;1
complementary;komplementär;1;0;0;0;0;0;0;0;0;0
completed;avslutad;0;0;0;0;0;0;0;0;0;0
completely;helt;1;0;0;0;0;0;0;0;0;0
completeness;fullständighet;1;0;0;0;0;0;0;0;0;0
completing;slutföra;1;0;0;1;0;0;1;0;0;0
completion;komplettering;1;0;0;1;0;0;1;0;0;0
complex;komplex;0;0;0;0;0;0;0;0;0;0
complexed;komplexbundna;0;1;0;0;0;0;0;0;0;0
complexion;hy;0;0;0;0;0;0;0;0;0;0
complexity;komplexitet;0;1;0;0;0;0;0;0;0;0
compliance;efterlevnad;1;0;0;0;0;0;0;0;0;1
compliant;kompatibel;1;0;0;0;0;0;0;0;0;0
complicate;komplicera;0;1;1;0;0;0;0;0;0;0
complicated;komplicerad;0;1;0;0;0;0;0;0;0;0
complication;komplikation;0;1;0;0;0;0;0;0;0;0
complicity;medbrottslighet;1;1;0;0;0;0;0;0;0;0
compliment;komplimang;1;0;0;1;0;0;1;0;1;1
comply;följa;0;0;0;0;0;0;0;0;0;0
complying;uppfyller;0;0;0;0;0;0;0;0;0;0
compo;kompo;0;0;0;0;0;0;0;0;0;0
component;komponent;0;0;0;0;0;0;0;0;0;0
compose;komponera;0;0;0;0;0;0;0;0;0;0
composed;sammansatt;1;0;0;0;0;0;0;0;0;0
composer;kompositör;1;0;0;0;0;0;0;0;0;0
composite;sammansatt;0;0;0;0;0;0;0;0;0;0
composition;sammansättning;0;0;0;0;0;0;0;0;0;0
compost;kompost;0;1;0;0;1;0;0;0;0;0
composure;lugn;1;0;0;0;0;0;0;0;0;0
compound;förening;0;0;0;0;0;0;0;0;0;0
comprehend;förstå;1;0;0;0;0;0;0;0;0;0
comprehension;förståelse;0;0;0;0;0;0;0;0;0;0
comprehensive;omfattande;1;0;0;0;0;0;0;0;0;0
compress;komprimera;0;0;1;0;0;0;0;0;0;0
compressed;komprimerad;0;0;0;0;0;0;0;0;0;0
compressible;komprimerbar;0;0;0;0;0;0;0;0;0;0
compression;kompression;0;0;0;0;0;0;0;0;0;0
comprise;innehålla;0;0;0;0;0;0;0;0;0;0
compromise;kompromiss;0;0;0;0;0;0;0;0;0;0
comptroller;comptroller;0;0;0;0;0;0;0;0;0;1
compulsion;tvång;0;1;1;0;0;0;0;0;0;0
compulsory;obligatorisk;0;1;0;0;0;0;0;0;0;0
computable;beräkningsbar;0;0;0;0;0;0;0;0;0;0
computation;beräkning;0;0;0;0;0;0;0;0;0;0
compute;beräkna;0;0;0;0;0;0;0;0;0;0
computer;dator;0;0;0;0;0;0;0;0;0;0
comrade;kamrat;1;0;0;0;0;0;0;0;0;1
con;lura;0;0;0;0;0;0;0;0;0;0
concatenation;konkatenering;0;0;0;0;0;0;0;0;0;0
concave;konkav;0;0;0;0;0;0;0;0;0;0
conceal;dölja;0;1;0;0;0;0;0;1;0;0
concealed;dold;0;1;0;1;0;1;0;0;1;0
concealment;döljande;0;1;1;1;0;1;0;0;0;0
conceit;inbilskhet;0;1;0;0;0;0;0;0;0;0
conceited;inbilsk;0;1;0;0;0;0;0;0;0;0
conceivable;tänkbar;0;0;0;0;0;0;0;0;0;0
concentrate;koncentrera;0;0;0;0;0;0;0;0;0;0
concentration;koncentration;0;0;0;0;0;0;0;0;0;0
concentric;koncentrisk;1;0;0;0;0;0;0;0;0;0
conception;uppfattning;0;0;0;0;0;0;0;0;0;0
concern;oro;0;0;0;0;0;0;0;0;0;0
concerned;bekymrad;0;0;0;0;0;1;0;1;0;0
concert;konsert;0;0;0;0;0;0;0;0;0;0
concession;koncession;0;0;0;0;0;0;0;0;0;0
concessional;förmånliga;0;0;0;0;0;0;0;0;0;0
concierge;concierge;0;0;0;0;0;0;0;0;0;0
conciliation;förlikning;1;0;0;0;0;0;1;0;0;1
concise;koncis;0;0;0;0;0;0;0;0;0;0
conclave;konklav;0;0;0;0;0;0;0;0;0;0
conclude;sluta;0;0;0;0;0;0;0;0;0;0
concluding;avslutande;1;0;0;0;0;0;0;0;0;0
conclusion;slutsats;0;0;0;0;0;0;0;0;0;0
concoction;hopkok;0;0;0;0;0;0;0;0;0;0
concomitant;samtidig;0;0;0;0;0;0;0;0;0;0
concord;harmoni;1;0;0;0;0;0;0;0;0;1
concordance;överensstämmelse;1;0;0;0;0;0;0;0;0;1
concours;concours;0;0;0;0;0;0;0;0;0;0
concourse;samverkan;0;0;0;0;0;0;0;0;0;0
concrete;betong-;0;0;0;0;0;0;0;0;0;0
concurrence;concurrence;0;0;0;0;0;0;0;0;0;0
concurrent;samverkande;0;0;0;0;0;0;0;0;0;0
concurring;samstämmiga;0;0;0;0;0;0;0;0;0;0
concussion;hjärnskakning;0;1;1;0;0;0;0;1;0;0
condemn;fördöma;0;1;1;0;0;0;0;0;0;0
condemnation;fördömelse;0;1;1;1;1;1;0;1;0;0
condensation;kondensation;0;0;0;0;0;0;0;0;0;0
condensed;kondenserad;0;0;0;0;0;0;0;0;0;0
condescending;nedlåtande;0;1;0;0;0;0;0;0;0;0
condescension;nedlåtenhet;0;1;1;0;1;0;0;1;0;0
condiment;krydda;0;0;0;0;0;0;0;0;0;0
condition;skick;0;0;0;0;0;0;0;0;0;0
conditional;villkorlig;0;0;0;0;0;0;0;0;0;0
conditionally;villkor;0;0;0;0;0;0;0;0;0;0
conditioned;betingad;0;0;0;0;0;0;0;0;0;0
conditions;betingelser;0;0;0;0;0;0;0;0;0;0
condolence;beklagande;1;0;0;0;0;0;0;1;0;0
condone;överse med;1;0;0;0;0;0;0;0;0;0
conducive;främjar;1;0;0;0;0;0;0;0;0;0
conduct;uppträdande;0;0;0;0;0;0;0;0;0;0
conduction;ledning;0;0;0;0;0;0;0;0;0;0
conductivity;ledningsförmåga;1;0;0;0;0;0;0;0;0;0
conductor;dirigent;0;0;0;0;0;0;0;0;0;0
conduit;rörledning;0;0;0;0;0;0;0;0;0;0
cone;kon;0;0;0;0;0;0;0;0;0;0
confederate;förbunds;1;0;0;0;0;0;0;0;0;1
confederation;konfederation;0;0;0;0;0;0;0;0;0;0
confer;tilldela;0;0;0;0;0;0;0;0;0;0
conference;konferens;0;0;0;0;0;0;0;0;0;0
confess;bekänna;1;1;0;0;0;0;0;0;0;1
confession;bekännelse;0;1;0;1;0;1;0;1;1;0
confessional;konfessionell;0;0;0;0;0;1;0;0;0;1
confessions;bekännelser;0;0;0;0;0;0;0;0;0;0
confide;anförtro;0;0;0;0;0;0;0;0;0;1
confidence;förtroende;1;0;0;0;0;1;1;0;0;1
confident;säker;1;0;0;0;0;0;1;0;0;1
confidential;konfidentiell;0;0;0;0;0;0;0;0;0;1
confidentially;konfidentiellt;0;0;0;0;0;0;0;0;0;1
configuration;konfiguration;0;0;0;0;0;0;0;0;0;0
confine;begränsa;0;1;1;0;0;1;0;1;0;0
confined;begränsad;0;1;1;0;1;1;0;1;0;0
confinement;förlossning;0;1;1;0;0;1;0;1;0;0
confines;inskränker;0;0;0;0;0;0;0;0;0;0
confirm;bekräfta;0;0;0;0;0;0;0;0;0;0
confirmation;bekräftelse;0;0;0;0;0;0;0;0;0;1
confirmatory;bekräftande;0;0;0;0;0;0;0;0;0;0
confirmed;bekräftade;1;0;0;0;0;0;0;0;0;1
confiscate;konfiskera;0;1;1;0;0;0;0;1;0;0
confiscation;konfiskering;0;1;0;0;0;0;0;0;0;0
conflagration;brand;0;1;1;0;0;1;0;0;0;0
conflict;konflikt;0;1;1;0;0;1;0;1;0;0
conflicting;motstridig;0;1;0;0;0;0;0;0;0;0
confluence;konfluens;0;0;0;0;0;0;0;0;0;0
conformance;överensstämmelse;1;0;0;0;0;0;0;0;0;0
conformation;gestaltning;0;0;0;0;0;0;0;0;0;0
conformity;överensstämmelse;0;0;0;0;0;0;0;0;0;1
confound;förbrylla;0;1;0;0;0;0;0;0;0;0
confounded;skam;0;1;0;0;0;0;0;0;0;0
confront;konfrontera;0;0;1;0;0;0;0;0;0;0
confuse;förvirra;0;1;0;0;0;0;0;0;0;0
confusion;förvirring;0;1;1;0;0;1;0;0;0;0
congenial;sympatisk;1;0;0;0;0;0;0;0;0;0
congenital;medfödd;0;0;0;0;0;0;0;0;0;0
congestion;trängsel;0;1;0;0;0;0;0;0;0;0
conglomerate;konglomerat;0;0;0;0;0;0;0;0;0;1
conglomeration;gytter;0;0;0;0;0;0;0;0;0;0
congratulatory;gratulations;1;0;0;0;0;0;1;0;0;0
congregate;samlas;0;0;0;0;0;0;0;0;0;0
congregation;församling;1;0;0;0;0;0;0;0;0;1
congress;kongress;0;0;0;0;1;0;0;0;0;1
congressional;kongress-;0;0;0;0;0;0;0;0;0;0
congressman;kongressman;0;0;0;0;0;0;0;0;0;1
congruence;kongruens;1;0;0;0;0;0;0;0;0;1
conic;konisk;0;0;0;0;0;0;0;0;0;0
conical;konisk;0;0;0;0;0;0;0;0;0;0
conjecture;gissa;0;0;0;1;0;0;0;0;0;0
conjugal;äktenskaplig;0;0;0;0;0;0;0;0;0;0
conjugate;konjugat;0;0;0;0;0;0;0;0;0;0
conjugation;konjugation;0;0;0;0;0;0;0;0;0;0
conjunction;samband;0;0;0;0;0;0;0;0;0;0
conjunctive;konjunktiv;0;0;0;0;0;0;0;0;0;0
conjure;trolla;0;0;0;1;0;0;0;0;1;0
conjuring;trolleri;0;1;0;0;0;0;0;0;0;0
connect;ansluta;0;0;0;0;0;0;0;0;0;0
connected;ansluten;0;0;0;0;0;0;0;0;0;0
connection;förbindelse;0;0;0;0;0;0;0;0;0;0
connective;bind;0;0;0;0;0;0;0;0;0;1
connoisseur;kännare;1;0;0;0;0;0;1;0;0;1
conquer;erövra;0;0;0;0;0;0;0;0;0;0
conqueror;besegrare;0;0;0;0;0;0;0;0;0;0
conquest;erövring;0;1;1;0;0;1;0;0;0;0
conscience;samvete;1;0;0;0;0;0;0;0;0;1
conscientious;samvetsgrann;1;0;0;0;0;0;0;0;0;1
consciousness;medvetande;1;0;0;0;0;0;0;0;0;0
conscription;värnplikt;0;0;0;0;0;0;0;0;0;0
consecration;invigning;1;0;0;1;0;0;1;1;0;1
consecutive;på varandra följande;0;0;0;0;0;0;0;0;0;0
consent;samtycke;0;0;0;0;0;0;0;0;0;0
consenting;samtycker;0;0;0;0;0;0;0;0;0;0
consequence;följd;0;0;0;0;0;0;0;0;0;0
consequent;följd;0;0;0;1;0;0;0;0;0;0
conservation;bevarande;1;0;0;1;0;0;0;0;0;1
conservatism;konservatism;0;0;0;0;0;0;0;0;0;0
conservative;konservativ;0;0;0;0;0;0;0;0;0;0
conservatory;vinterträdgård;0;0;0;0;0;0;0;0;0;0
conserve;bevara;1;0;0;0;0;0;0;0;0;0
considerable;betydande;1;0;0;0;0;0;0;0;0;0
considerate;omtänksam;1;0;0;0;0;0;0;0;0;1
consignee;mottagare;0;0;0;0;0;0;0;0;0;0
consignment;sändning;0;0;0;0;0;0;0;0;0;0
consistency;konsistens;1;0;0;0;0;0;0;0;0;1
consistent;konsekvent;0;0;0;0;0;0;0;0;0;0
consolation;tröst;0;0;0;0;0;0;0;0;0;0
console;trösta;1;0;0;0;0;0;0;1;0;0
consolidate;konsolidera;0;0;0;0;0;0;0;0;0;0
consolidation;konsolidering;0;0;0;0;0;0;0;0;0;0
consonant;konsonant;1;0;0;0;0;0;0;0;0;0
consort;umgås;0;0;0;0;0;0;0;0;0;1
conspicuous;iögonfallande;0;0;0;0;0;0;0;0;0;0
conspiracy;konspiration;0;0;0;0;0;1;0;0;0;0
conspirator;konspiratör;0;1;1;1;1;1;0;0;0;0
conspire;konspirera;0;1;0;0;0;1;0;0;0;0
constable;konstapel;0;0;0;0;0;0;0;0;0;1
constancy;beständighet;1;0;0;0;0;0;0;0;0;1
constant;konstant;1;0;0;0;0;0;0;0;0;1
constantly;ständigt;0;0;0;0;0;0;0;0;0;1
constellation;konstellation;0;0;0;0;0;0;0;0;0;0
consternation;bestörtning;0;1;1;0;0;1;0;0;0;0
constipation;förstoppning;0;1;0;0;1;0;0;0;0;0
constituent;konstituerande;0;0;0;0;0;0;0;0;0;0
constituents;beståndsdelar;0;0;0;0;0;0;0;0;0;0
constitute;utgör;0;0;0;0;0;0;0;0;0;1
constitution;konstitution;0;0;0;0;0;0;0;0;0;0
constitutional;konstitutionell;1;0;0;0;0;0;0;0;0;1
constitutionality;constitutionalityen;0;0;0;0;0;0;0;0;0;0
constrain;begränsa;0;1;0;0;0;1;0;0;0;0
constrained;tvungen;0;1;0;0;0;0;0;0;0;0
constraint;tvång;0;1;1;0;0;1;0;1;0;0
construct;konstruera;1;0;0;0;0;0;0;0;0;0
construction;konstruktion;0;0;0;0;0;0;0;0;0;0
construe;tolka;0;0;0;0;0;0;0;0;0;0
consul;konsul;0;0;0;0;0;0;0;0;0;1
consult;rådfråga;0;0;0;0;0;0;0;0;0;1
consultation;samråd;0;0;0;0;0;0;0;0;0;0
consume;konsumera;0;0;0;0;0;0;0;0;0;0
consuming;förbrukande;0;0;0;0;0;0;0;0;0;0
consummate;fullborda;1;0;0;0;0;0;0;0;0;0
consummation;fullbordan;0;0;0;0;0;0;0;0;0;0
consumption;konsumtion;0;0;0;0;0;0;0;0;0;0
contact;kontakta;1;0;0;0;0;0;0;0;0;0
contagion;smitta;0;1;0;1;1;1;0;0;0;0
contagious;smittosam;0;1;0;0;1;1;0;0;0;0
containment;inneslutning;0;0;0;0;0;0;0;0;0;0
contaminate;förorena;0;1;0;0;1;0;0;0;0;0
contaminated;förorenat;0;1;0;0;1;1;0;1;0;0
contamination;förorening;0;1;0;0;1;0;0;0;0;0
contemplate;överväga;0;0;0;0;0;0;0;0;0;0
contemplation;begrundande;1;0;0;0;0;0;0;0;0;0
contemplative;kontemplativ;0;0;0;0;0;0;0;0;0;0
contemporaneous;samtida;0;0;0;0;0;0;0;0;0;0
contemporary;samtida;0;0;0;0;0;0;0;0;0;0
contempt;förakt;0;1;1;0;1;1;0;0;0;0
contemptible;föraktlig;0;1;1;0;1;0;0;0;0;0
contemptuous;förakt;0;1;1;0;0;0;0;0;0;0
contending;stridande;0;0;0;0;0;0;0;0;0;0
content;innehåll;1;0;0;0;0;0;1;0;0;1
contention;påstående;0;0;0;0;0;0;0;0;0;0
contentious;omtvistad;0;1;1;0;1;1;0;0;0;0
contents;innehåll;0;0;0;0;0;0;0;0;0;0
context;sammanhang;0;0;0;0;0;0;0;0;0;0
contiguous;angränsande;0;0;0;0;0;0;0;0;0;0
continence;avhållsamhet;0;0;0;0;0;0;0;0;0;0
continent;kontinent;0;0;0;0;0;0;0;0;0;0
continental;kontinental;0;0;0;0;0;0;0;0;0;0
contingency;beredskaps;0;0;0;0;0;0;0;0;0;0
contingent;kontingent;0;0;0;1;0;0;0;0;0;0
continual;ständig;0;0;0;0;0;0;0;0;0;0
continually;kontinuerligt;0;0;0;0;0;0;0;0;0;0
continuance;fortsättning;0;0;0;0;0;0;0;0;0;0
continuation;fortsättning;0;0;0;1;0;0;0;0;0;0
continue;fortsätta;1;0;0;1;0;0;0;0;0;1
continued;fortsatt;0;0;0;0;0;0;0;0;0;0
continuing;fortlöpande;0;0;0;0;0;0;0;0;0;0
continuity;kontinuitet;0;0;0;0;0;0;0;0;0;0
continuous;kontinuerlig;0;0;0;0;0;0;0;0;0;0
continuously;kontinuerligt;0;0;0;0;0;0;0;0;0;0
contour;kontur;1;0;0;0;0;0;0;0;0;0
contraband;smuggel;0;1;1;0;1;1;0;0;0;0
contract;kontrakt;0;0;0;0;0;0;0;0;0;0
contracted;avtalad;0;1;0;0;0;0;0;0;0;0
contractile;kontraktila;0;0;0;0;0;0;0;0;0;0
contracting;upphandlande;0;0;0;0;0;0;0;0;0;0
contraction;kontraktion;0;0;0;0;0;0;0;0;0;0
contradict;motsäga;0;1;1;0;0;0;0;0;0;0
contradiction;motsägelse;0;1;0;0;0;0;0;0;0;0
contradictory;motsägande;0;1;0;0;0;0;0;0;0;0
contrary;motsats;0;1;0;0;0;0;0;0;0;0
contrast;kontrast;0;0;0;0;0;0;0;0;0;0
contrasted;kontraste;0;1;0;0;0;0;0;0;0;0
contravene;strider;0;1;0;0;0;0;0;0;0;0
contravention;strid;0;1;0;0;0;0;0;0;0;0
contribute;medverka;1;0;0;0;0;0;0;0;0;0
contributor;bidragsgivare;1;0;0;0;0;0;0;0;0;1
contrived;contrived;0;0;0;0;0;0;0;0;0;0
control;kontrollera;0;0;0;0;0;0;0;0;0;0
controversial;kontroversiell;0;1;1;0;0;0;0;0;0;0
controversy;kontrovers;0;1;0;0;0;0;0;0;0;0
conundrum;gåta;0;0;0;0;0;0;0;0;0;0
convalescent;konvalescent;0;0;0;0;0;0;0;0;0;0
convection;konvektion;0;0;0;0;0;0;0;0;0;0
convene;kalla;0;0;0;0;0;0;0;0;0;0
convenience;bekvämlighet;1;0;0;0;0;0;0;0;0;0
conveniences;bekvämligheter;0;0;0;0;0;0;0;0;0;0
convenient;bekväm;1;0;0;0;0;0;0;0;0;0
convent;kloster;1;0;0;0;0;0;0;0;0;1
convention;konvent;1;0;0;0;0;0;0;0;0;0
conventional;konventionell;0;0;0;0;0;0;0;0;0;0
converge;konvergera;0;0;0;0;0;0;0;0;0;0
convergence;konvergens;0;0;0;1;0;0;0;0;0;0
convergent;konvergerande;0;0;0;0;0;0;0;0;0;0
conversant;förtrogen;1;0;0;0;0;0;0;0;0;0
conversation;konversation;0;0;0;0;0;0;0;0;0;0
conversational;konversera;1;0;0;0;0;0;0;0;0;0
converse;samtala;0;0;0;0;0;0;0;0;0;0
conversing;konversera;0;0;0;0;0;0;0;0;0;0
conversion;omvandling;0;0;0;0;0;0;0;0;0;0
convert;konvertera;1;0;0;0;0;0;0;0;0;0
converted;konverterad;0;0;0;0;0;0;0;0;0;0
convertible;konvertibel;0;0;0;0;0;0;0;0;0;0
convex;konvex;0;0;0;0;0;0;0;0;0;0
convexity;konvexitet;0;0;0;0;0;0;0;0;0;0
convey;framföra;0;0;0;0;0;0;0;0;0;0
conveyance;befordran;0;0;0;0;0;0;0;0;0;0
conveyancing;överlåtelse;0;0;0;0;0;0;0;0;0;1
convict;fälla;0;1;1;0;1;1;0;1;0;0
conviction;övertygelse;0;1;0;0;0;0;0;0;0;0
convince;övertyga;1;0;0;1;0;0;0;0;0;1
convinced;övertygad;0;0;0;0;0;0;0;0;0;1
convincing;övertygande;0;0;0;0;0;0;0;0;0;1
convocation;sammankomst;0;0;0;0;0;0;0;0;0;0
convoluted;invecklad;0;0;0;0;0;0;0;0;0;0
convolution;veck;0;0;0;0;0;0;0;0;0;0
convoy;konvoj;0;0;0;0;0;0;0;0;0;0
coo;kuttra;0;0;0;0;0;0;0;0;0;0
cook;kock;0;0;0;0;0;0;0;0;0;0
cookery;kokkonst;0;0;0;0;0;0;0;0;0;0
cooking;matlagning;0;0;0;0;0;0;0;0;0;0
cool;Häftigt;1;0;0;0;0;0;0;0;0;0
cooler;kylare;0;0;0;0;0;0;0;0;0;0
cooling;kyl-;0;0;0;0;0;0;0;0;0;0
coolness;svalka;1;0;0;0;0;0;0;0;0;0
coop;coop;0;1;1;0;1;0;0;0;0;0
cooperate;samarbeta;1;0;0;0;0;0;0;0;0;0
cooperating;samverkande;1;0;0;0;0;0;0;0;0;1
cooperation;samarbete;1;0;0;0;0;0;0;0;0;1
cooperative;kooperativ;1;0;0;0;0;0;0;0;0;1
coordinate;samordna;0;0;0;0;0;0;0;0;0;0
cop;polis;0;0;0;0;0;1;0;0;0;1
copious;riklig;0;0;0;0;0;0;0;0;0;0
copper;koppar;0;0;0;0;0;0;0;0;0;0
copy;kopiera;0;1;0;0;0;0;0;0;0;0
copycat;copycat;0;1;1;0;1;0;0;0;0;0
copying;kopiering;0;0;0;0;0;0;0;0;0;0
copyright;upphovsrätt;0;0;0;0;0;0;0;0;0;0
coral;korall;0;0;0;0;0;0;0;0;0;0
cord;sladd;0;0;0;0;0;0;0;0;0;0
cordon;avspärrning;0;0;0;0;0;0;0;0;0;0
corduroy;manchester;0;0;0;0;0;0;0;0;0;0
core;kärna;1;0;0;0;0;0;0;0;0;0
cork;kork;0;0;0;0;0;0;0;0;0;0
corkscrew;korkskruv;0;0;0;0;0;0;0;0;0;0
corn;majs;0;0;0;0;0;0;0;0;0;0
cornea;hornhinnan;0;0;0;0;0;0;0;0;0;0
corner;hörn;0;0;0;0;0;0;0;0;0;0
cornet;kornett;0;0;0;0;0;0;0;0;0;0
cornice;taklist;0;0;0;0;0;0;0;0;0;0
cornstarch;majsstärkelse;0;0;0;0;0;0;0;0;0;0
corollary;naturlig följd;0;0;0;0;0;0;0;0;0;0
corona;korona;0;0;0;0;0;0;0;0;0;0
coronation;kröning;1;0;0;0;0;0;1;0;0;1
coroner;coroneren;0;1;0;0;0;0;0;0;0;0
corporal;korpral;0;1;0;0;0;0;0;0;0;0
corporate;företags-;0;0;0;0;0;0;0;0;0;0
corporation;företag;1;0;0;0;0;0;0;0;0;1
corporeal;kroppslig;1;0;0;0;0;0;0;0;0;0
corps;kår;0;0;0;0;0;0;0;0;0;0
corpse;lik;0;1;0;0;1;0;0;1;0;0
corpus;corpus;0;0;0;0;0;0;0;0;0;0
corral;fålla;0;0;0;0;0;0;0;0;0;0
correction;korrektion;0;1;0;0;0;0;0;0;0;0
corrective;korrigerande;1;0;0;0;0;0;0;0;0;0
correctness;korrekthet;0;0;0;0;0;0;0;0;0;1
correlation;jämförelse;0;0;0;0;0;0;0;0;0;0
correlative;korrelativ;0;0;0;0;0;0;0;0;0;0
correspond;motsvarar;0;0;0;0;0;0;0;0;0;0
correspondence;korrespondens;1;0;0;1;0;0;0;0;0;0
correspondent;korrespondent;0;0;0;0;0;0;0;0;0;0
corridor;korridor;0;0;0;0;0;0;0;0;0;0
corroborate;bekräfta;1;0;0;0;0;0;0;0;0;1
corroboration;bekräftelse;0;0;0;0;0;0;0;0;0;1
corrosion;korrosion;0;1;0;0;0;0;0;0;0;0
corrosive;frätande;0;1;0;0;0;1;0;0;0;0
corrupt;korrupt;0;1;0;0;0;0;0;0;0;0
corrupting;korrumperande;0;1;1;0;1;1;0;1;0;0
corruption;korruption;0;1;0;0;1;0;0;0;0;0
corse;corse;0;0;0;0;0;0;0;1;0;0
corset;korsett;0;0;0;0;0;0;0;0;0;0
cortex;bark;0;0;0;0;0;0;0;0;0;0
cortical;kortikal;0;0;0;0;0;0;0;0;0;0
corvette;korvett;0;0;0;0;0;0;0;0;0;0
cosmetic;kosmetisk;0;0;0;0;0;0;0;0;0;0
cosmetics;kosmetika;0;0;0;0;0;0;0;0;0;0
cosmic;kosmisk;0;0;0;0;0;0;0;0;0;0
cosmology;kosmologi;0;0;0;0;0;0;0;0;0;0
cosmopolitan;kosmopolit;1;0;0;0;0;0;0;0;0;1
cosmos;kosmos;0;0;0;0;0;0;0;0;0;0
cost;kosta;0;0;0;0;0;0;0;0;0;0
costly;kostsam;0;0;0;0;0;0;0;0;0;0
costume;kostym;0;0;0;0;0;0;0;0;0;0
cosy;mysig;1;0;0;0;0;0;0;0;0;0
cot;spjälsäng;0;0;0;0;0;0;0;0;0;0
cote;cote;0;0;0;0;0;0;0;0;0;0
cottage;stuga;0;0;0;0;0;0;0;0;0;0
cotton;bomull;0;0;0;0;0;0;0;0;0;0
couch;soffa;0;0;0;0;0;0;0;1;0;0
cougar;puma;0;0;0;0;0;0;0;0;0;0
cough;hosta;0;1;0;0;1;0;0;0;0;0
council;råd;1;0;0;1;0;0;0;0;0;1
counsel;råd;1;0;0;0;0;0;0;0;0;1
counsellor;rådgivare;0;1;1;0;0;1;0;0;0;1
counselor;rådgivare;1;0;0;0;0;0;0;0;0;1
count;räkna;1;0;0;0;0;0;0;0;0;1
countdown;nedräkning;0;0;0;1;0;0;0;0;0;0
countenance;tolerera;0;0;0;0;0;0;0;0;0;0
counter;disk;0;0;0;0;0;0;0;0;0;0
counteract;motverka;0;0;0;0;0;0;0;0;0;0
counterbalance;motvikt;0;0;0;0;0;0;0;0;0;0
counterclaim;motfordran;0;0;0;0;0;0;0;0;0;0
counterpart;motsvarighet;0;0;0;0;0;0;0;0;0;0
countess;grevinna;1;0;0;0;0;0;0;0;0;0
countless;otaliga;0;0;0;0;0;0;0;0;0;0
country;land;0;0;0;0;0;0;0;0;0;0
countryman;landsman;0;0;0;0;0;0;0;0;0;1
counts;räkningar;0;0;0;0;0;0;0;0;0;0
county;grevskap;0;0;0;0;0;0;0;0;0;1
coup;kupp;0;0;1;0;0;0;0;0;1;0
couple;par;0;0;0;0;0;0;0;0;0;0
coupled;kopplad;0;0;0;0;0;0;0;0;0;0
coupon;kupong;0;0;0;0;0;0;0;0;0;0
courage;mod;1;0;0;0;0;0;0;0;0;0
courageous;modig;1;0;0;0;0;1;0;0;0;0
courier;kurir;0;0;0;0;0;0;0;0;0;1
courses;kurser;0;0;0;0;0;0;0;0;0;0
coursing;coursing;0;1;0;0;0;0;0;0;0;0
court;domstol;0;0;1;1;0;1;0;0;0;0
courteous;artig;1;0;0;0;0;0;0;0;0;0
courtesy;artighet;1;0;0;0;0;0;0;0;0;0
courthouse;tingshus;0;0;0;0;0;0;0;0;0;0
courts;domstolar;0;0;0;0;0;0;0;0;0;0
courtship;uppvaktning;1;0;0;1;0;0;1;0;0;1
courtyard;gård;0;0;0;0;0;0;0;0;0;0
cove;cove;1;0;0;1;1;1;1;0;0;0
covenant;förbund;1;0;0;0;0;0;0;0;0;1
cover;täcka;0;0;0;0;0;0;0;0;0;1
covered;täckt;0;0;0;0;0;0;0;0;0;0
covering;beläggning;0;0;0;0;0;0;0;0;0;0
